省份,剧种,BV号,视频进度(秒),弹幕内容
四川,川剧,BV11f421v74w,3545.511,哈哈哈哈好符合他的人设
四川,川剧,BV11f421v74w,5112.481,段正淳：知己啊
四川,川剧,BV11f421v74w,5675.219,犹豫，有时候就是一种答案。
四川,川剧,BV11f421v74w,5061.824,他的心尖尖上住满了人，跟个榴莲似的。
四川,川剧,BV11f421v74w,4757.775,医学上来讲，可能是“回光返照”，肾上腺素这些最后一次开始工作了。。
四川,川剧,BV11f421v74w,3679.938,申这个穿搭是体现他的风流，该说不说还蛮潮的。
四川,川剧,BV11f421v74w,2855.638,利诱不成改威逼了
四川,川剧,BV11f421v74w,2952.557,这个情绪转变好厉害，把疯批演绎得活灵活现了
四川,川剧,BV11f421v74w,4355.751,翻译一下就是你真是饿了
四川,川剧,BV11f421v74w,1406.258,警幻确实很忙
四川,川剧,BV11f421v74w,5950.469,懂了 仙姑是妇女主任 好哇
四川,川剧,BV11f421v74w,3994.485,啊？！
四川,川剧,BV11f421v74w,4073.584,这娇撒得，谁顶得住
四川,川剧,BV11f421v74w,4825.416,不中了他要鼠了瘦脱相一看倒影吓到了说是容貌焦虑也太好笑
四川,川剧,BV11f421v74w,2151.565,三个人三种舞台气质，憨，风流，邪气
四川,川剧,BV11f421v74w,4455.039,冲姚安杀妻来的，结果反复刷申贵升这段，又渣又可爱又好笑哈哈
四川,川剧,BV11f421v74w,4024.555,怎么说，这谈恋爱情绪价值给满了吧
四川,川剧,BV11f421v74w,2984.086,谁懂这句“哦豁”的笑点，哈哈哈哈
四川,川剧,BV11f421v74w,3695.922,是空耳，我们有救了！
四川,川剧,BV11f421v74w,3549.717,申桂升中央空调哇，想给所有漂亮姐姐一个家。
四川,川剧,BV11f421v74w,3562.479,这位老师扮相好漂亮……
四川,川剧,BV11f421v74w,4348.585,造孽呀，哈哈哈哈哈
四川,川剧,BV11f421v74w,5298.389,其实这个渣男团可以加一个石怀玉
四川,川剧,BV11f421v74w,3126.27,哈哈哈哈哈哈哈哈哈哈突然变傻
四川,川剧,BV11f421v74w,4355.346,饿了真的饿什么都吃得下
四川,川剧,BV11f421v74w,5040.282,《折夭》
四川,川剧,BV11f421v74w,4916.468,观音：脏了我的莲台
四川,川剧,BV11f421v74w,1857.868,女:枉死城？我从那里过来的
四川,川剧,BV11f421v74w,4548.305,单枪匹马，哈哈哈哈哈
四川,川剧,BV11f421v74w,4532.065,？夺少
四川,川剧,BV11f421v74w,2288.304,苦也是吃了，坏事也是做了
四川,川剧,BV11f421v74w,4793.512,笑死我了
四川,川剧,BV11f421v74w,4296.006,我的姚安啊 真会说话
四川,川剧,BV11f421v74w,860.735,好喜欢这个改编
四川,川剧,BV11f421v74w,4962.483,见血封喉茶
四川,川剧,BV11f421v74w,3999.724,姐姐:这是做啥子？咋介样子
四川,川剧,BV11f421v74w,3035.06,原来川剧能这么演的哈哈
四川,川剧,BV11f421v74w,2358.08,感觉王魁在憋笑。
四川,川剧,BV11f421v74w,2261.597,桂英不苦吗？那桂英给他的也是自己最好的了，他更应该感谢她才是
四川,川剧,BV11f421v74w,1445.605,这不是拉踩，这是科普历史渊源，傅全香老师早年向川剧学习了焚香记改编成越剧的情探，这是傅派的代表作，每一个唱傅派的甚至唱越剧的都会唱这出戏
四川,川剧,BV11f421v74w,500.03,姚安火出圈了吧
四川,川剧,BV11f421v74w,5130.642,哈哈哈梦幻联动我嵩哥，双厨狂喜
四川,川剧,BV11f421v74w,2273.916,人家张仪还能让恩人当王妃呢
四川,川剧,BV11f421v74w,4073.431,撒娇耍泼耍无赖全用上了哈哈哈哈哈哈
四川,川剧,BV11f421v74w,1080.99,他竟然纠结过
四川,川剧,BV11f421v74w,2026.885,从想做妻子变成做妾，妾又变成了奴和婢，结果他还是不答应。
四川,川剧,BV11f421v74w,3187.88,这个新娘子真是无妄之灾啊，被渣男骗了还要被鬼跟着
四川,川剧,BV11f421v74w,1932.821,她甚至都不要当正妻了，偏房就行。按理来说她才是正室
四川,川剧,BV11f421v74w,5232.465,从古至今都不缺少渣男。有些故事就是为了警醒后人的。
四川,川剧,BV11f421v74w,2086.441,申桂生一脸看戏的
四川,川剧,BV11f421v74w,3413.363,黄衣服有可爱的酒窝，哈哈哈
四川,川剧,BV11f421v74w,2439.656,他的表情很丰富，哈哈哈，今天看第二次，专门看姚安这段
四川,川剧,BV11f421v74w,2257.103,就算再冷，也不该拿别人的血来暖自己
四川,川剧,BV11f421v74w,4975.946,没逝没逝，王魁你懂啊哈哈
四川,川剧,BV11f421v74w,4207.113,看着“佳偶啊”，实则孽缘
四川,川剧,BV11f421v74w,2473.018,可爱捏~（指演员
四川,川剧,BV11f421v74w,2249.095,挨过冻不能成为他干这事儿的理由
四川,川剧,BV11f421v74w,5174.629,《博爱》
四川,川剧,BV11f421v74w,4042.073,书生会撒娇，志贞新飘飘
四川,川剧,BV11f421v74w,2723.414,敢信吗？这哥们现实里是00年的哦！
四川,川剧,BV11f421v74w,2354.62,演员的神态都把握的很好很厉害了
四川,川剧,BV11f421v74w,5696.378,这一段好好啊
四川,川剧,BV11f421v74w,3483.568,撞我的鬼哦哈哈哈哈哈哈哈哈
四川,川剧,BV11f421v74w,4441.472,乐死我了这虚的
四川,川剧,BV11f421v74w,2969.955,表情，情绪变化好棒哈哈哈
四川,川剧,BV11f421v74w,3834.705,这个造型太美了
四川,川剧,BV11f421v74w,4587.862,不行了哈哈哈
四川,川剧,BV11f421v74w,2248.325,诡辩，过去的经历无论如何都不是辜负真心的理由
四川,川剧,BV11f421v74w,2512.368,他表情真让人想放大看，太可爱了，坏坏的，又很可爱。
四川,川剧,BV11f421v74w,2142.867,渣男之间还相互嫌弃哈哈哈哈
四川,川剧,BV11f421v74w,2132.241,姚安这张嘴啊！这话说得中听
四川,川剧,BV11f421v74w,5990.185,现代虽然王奎这种少了，但是申桂升和姚安这种变多了
四川,川剧,BV11f421v74w,1263.81,纠结的时候就已经说明他的心里有答案了
四川,川剧,BV11f421v74w,433.732,就是造业，业障，不是孽障，前者是与功德相对的东西，后者是形容词
四川,川剧,BV11f421v74w,5018.881,《福气甚好》
四川,川剧,BV11f421v74w,3347.402,仙姑这个甩袖好看，干脆利落又不失优雅
四川,川剧,BV11f421v74w,3041.02,他还穿着这件斑驳的衣 红的沾上了梦姐的血
四川,川剧,BV11f421v74w,2301.273,小红，你怎么净说大实话
四川,川剧,BV11f421v74w,416.031,这个扇子叫便面
四川,川剧,BV11f421v74w,3947.545,川剧风流小生穿的鸳鸯褶，表示风流
四川,川剧,BV11f421v74w,4512.83,小尼姑好委屈的表情
四川,川剧,BV11f421v74w,731.8,姚安是邓方圆老师饰演的吧
四川,川剧,BV11f421v74w,3313.158,这个菜搏刀递得有点好笑啊，哈哈哈哈
四川,川剧,BV11f421v74w,4907.686,葬俗观念倒是还挺先进（）
四川,川剧,BV11f421v74w,2912.422,姚安高难度动作啊
四川,川剧,BV11f421v74w,2684.753,方圆老师好帅
四川,川剧,BV11f421v74w,5760.098,这一段太棒了
四川,川剧,BV11f421v74w,5181.421,墨子：勿cue，我说的是兼爱非攻哈
四川,川剧,BV11f421v74w,4543.673,哈哈哈无敌比喻
四川,川剧,BV11f421v74w,2734.555,这跟00年到底有什么关系啊怎么到处强调出生年份，演员优秀否就一定要卡年份吗
四川,川剧,BV11f421v74w,3744.851,这个应该就是up了 帅的嘞 他爸也老帅了
四川,川剧,BV11f421v74w,5756.352,这段扯皮精彩
四川,川剧,BV11f421v74w,4020.448,跪到心里去了
四川,川剧,BV11f421v74w,632.788,哈哈哈哈啄木官是不是啄木鸟的意思
四川,川剧,BV11f421v74w,4010.45,升桂申太乖了
四川,川剧,BV11f421v74w,2407.677,最爱的段来了
四川,川剧,BV11f421v74w,4962.239,咽了……噗哈哈哈哈哈哈哈
四川,川剧,BV11f421v74w,3520.355,警幻仙子好累哟
四川,川剧,BV11f421v74w,4030.072,哈哈哈怎么直接耍赖呢哈哈哈
四川,川剧,BV11f421v74w,3843.4,仙姑真忙呀
四川,川剧,BV11f421v74w,3911.671,申桂升太会撒娇了
