省份,剧种,BV号,标题,简介,播放量,点赞数,投币数,收藏数,弹幕总数,抓取时间
黑龙江,龙江剧,BV1QW411v7C7,【戏曲电影】【龙江剧】花木兰传奇（1994）,http://video.tudou.com/v/XMTk0NTIyNjcxMg==.html?f=42702857 花木兰故事再创作，有一个爱花木兰的女人和一个花木兰爱的男人。曾获95年华表奖和金鸡奖最佳戏曲片，龙江剧电影，第一次找都没发现，挺冷门的。,9032,33,30,88,4,2026-04-04 19:13:10
辽宁,复州皮影戏,BV1RmY1zXE4w,非遗动起来！——基于Kinect骨骼追踪的复州皮影戏智能互动系统,为解决复州皮影戏传承人老龄化、学习门槛高、传播形式单一的困境，本项目构建了一套智能互动系统。技术核心是利用Azure Kinect实时捕捉人体骨骼，通过Unity引擎将动作精准映射至虚拟皮影角色。 	主要创新点在于： 	1.基于骨骼追踪的非等比关节权重映射技术，确保动作自然流畅； 	2.支持AI辅助设计与JSON配置的模块化多剧目系统，实现内容快速扩展。 作品实现了“人体即影杆，动作即表演”的零门槛体验，旨在推动非遗文化焕发新生。,1949,52,8,114,0,2026-04-04 19:13:17
辽宁,复州皮影戏,BV1JdJqzuEAJ,95期 复州皮影戏,（出品：设计学院/拍摄、剪辑：杨开泰 姜雷雨/指导老师：王弘毅 高江龙）,135,5,0,1,0,2026-04-04 19:13:25
辽宁,复州皮影戏,BV1ykujzcEU6,复州皮影戏 带你感受非遗魅力,-,90,3,0,2,0,2026-04-04 19:13:33
辽宁,复州皮影戏,BV1wi4y1K7eX,300年复州皮影戏，与国粹京剧同龄,大连也有自己独特的曲艺文化 其中历史最为悠久的是复州皮影戏 距今已有300余年历史,687,8,2,11,0,2026-04-04 19:13:40
辽宁,复州皮影戏,BV1L94y1K7s9,复州皮影戏班的日常,-,134,5,0,0,0,2026-04-04 19:13:48
辽宁,复州皮影戏,BV1HK421v7QN,复州皮影戏经典曲目“鹤与龟”（上）,-,106,2,0,2,0,2026-04-04 19:13:55
甘肃,陇剧,BV1zd4y197cz,纪录片-甘肃地方戏曲《陇剧》,……,932,11,0,20,0,2026-04-04 19:14:03
甘肃,陇剧,BV1ji4y1g7qs,这就叫：陇剧,陇剧宣传片 是课题的成果报告,1178,64,54,24,4,2026-04-04 19:14:10
甘肃,陇剧,BV1fy4y1P7He,陇剧《枫洛池》,戏曲 如题,1087,15,4,35,0,2026-04-04 19:14:18
甘肃,陇剧,BV1G8411e7Nj,戏曲/陇剧《万家春》,"陇剧  《万家春》是安庆云、易东林联合导演的戏曲片，于1983年上映。讲述陇南山区某生产队妇女主任辛月梅的故事。  电影名:万家春  导 演：安庆云 易东林  编 剧：张方 李迟  主 演：任媛媛 马京园 米新洪 袁冬梅 邹莲蕊  地 区：中国大陆  颜 色：彩色  类 型：戏曲片  制作公司：西安电影制片厂 [中国]",2465,93,1,45,0,2026-04-04 19:14:26
甘肃,陇剧,BV1F44y1r7XM,甘肃陇剧,https://www.xuexi.cn/lgpage/detail/index.html?id=15952820263134480380 陇剧原名陇东道情，是甘肃省独有传统戏曲艺术。起源于汉代的道情说唱，唐宋时期由宫廷走向民间。扎根于陇东的渔鼓道情，逐渐吸收了当地民间音乐营养，增加二股弦等乐器，衍化为皮影唱腔音乐。1958年搬上舞台，1959年正式命名为陇剧。 《状元与乞丐》，移植于同名莆仙戏 若有中国的音乐人朋友听到，希望于你们有助益。 自然不比现场，喜欢的朋友有机会可去看现场支持,1292,16,3,24,2,2026-04-04 19:14:33
山西,晋剧,BV1T2421P7Rp,【逆水寒x晋剧】从你我开始，做传统戏曲传承的星星之火！,3月28日，逆水寒携手允中也邀请您来梨韵阁一同听戏，更有晋剧主题外观免费领取！,1007010,28748,19245,14600,2176,2026-04-04 19:14:41
山西,晋剧,BV1Fg4y1c7Gt,【中国梆子大会】【晋剧】《清风亭·舍子》张军波    以及评委,除了评委的点评，我们也要欣赏一下优秀演员的艺术,121428,6919,1724,1277,980,2026-04-04 19:14:56
山西,晋剧,BV1R3411c77C,新编晋剧《庄周试妻》谢涛 郑芳芳,唱段集锦:BV1bv4y1z7Zk 太原市晋剧艺术研究院 该剧以明代冯梦龙的小说《庄子休鼓盆成大道》为素材创作而成。故事中的庄周，不是历史上的庄周，而是借庄周之名而虚构的故事，讲的是半人半仙的庄周某日怀疑妻子田氏移情别恋楚王孙，便借仙术假装死去，变成楚王孙试探田氏求爱求婚，结果妻子喜欢上了楚王孙，后得知楚王孙为庄子幻化后羞愧自缢。庄子将其火化后鼓盆而歌，然后遨游四方，最后得道成仙。,18248,247,43,447,335,2026-04-04 19:15:15
山西,晋剧,BV1LM411i7kt,【晋剧全本戏】山西省晋剧院一团2022年演出《算粮登殿》高清版本丨栗桂莲丨孙红丽丨梁平旺丨刘方正丨王晋军丨张丽果丨乔俊芳,纪念来b站六年来终于破千粉了哇咔咔，缓慢整理上传中，由于原视频发布者没发全导致偶尔可能会丢个一两秒导致过渡不自然，还是希望大家看戏愉快，这高清视频文件实在太大了，祝俺手机内存能顺利成功吧。,127187,645,201,1092,72,2026-04-04 19:15:26
山西,晋剧,BV11e411G7Ng,晋剧合集,网络,45096,399,101,1040,12,2026-04-04 19:15:37
江西,赣剧,BV1hW411N783,赣剧 青阳腔【窦娥冤】全本   主演：陈俐,"《窦娥冤》原名《感天动地窦娥冤》。是元代戏曲家关汉卿的元杂剧代表作，也是元杂剧悲剧的典范，剧情取材自东汉""东海孝妇""的民间故事。讲述了一位穷书生窦天章为还蔡婆婆借他的银子，不得已将女儿窦娥抵给蔡婆婆做童养媳，没过几年窦娥的夫君早死。适逢蔡婆婆索要赛卢医还钱，却险些被赛卢医害死。幸得张驴儿父子相救。那张驴儿要蔡婆婆将窦娥许配给他，窦娥始终未同意。张驴儿就将毒药下在羊肚汤中要毒死蔡婆婆，结果缺误毒死了其父。张驴儿反咬一口诬告窦娥毒死了其父，昏官桃杌最后做成冤案将窦娥处斩。",17873,186,58,352,32,2026-04-04 19:15:48
江西,赣剧,BV1gs411C7Ey,【赣剧·弋阳腔】《还魂记-妩媚春光》——涂玲慧,http://my.tv.sohu.com/us/63288410/30123129.shtml  赣剧弋阳腔，《还魂记》选段《妩媚春光》。 演唱：涂玲慧,17438,287,45,367,21,2026-04-04 19:15:55
江西,赣剧,BV11s41167VM,【赣剧·弋阳腔】珍贵影像资料 活化石《江边会友》—李福东 郑瑞笙,优酷。 《江边会友》表演者：弋阳腔老艺人李福东、郑瑞笙。本剧和《哑背疯》被誉为赣剧“双绝”。 --赣剧历史上的第一部影像资料，能找到实属难得，目前没有发现更清晰的，就别吐槽画质了。（指望哪天八一厂把这部放出来吧。） --上世纪五十年代，梅兰芳先生看过李福东老先生的《江边会友》，给予了极高的评价，也促成了这段影片的摄制。1958年12月由八一电影制片厂拍摄，李紫贵担任导演，采用舞台纪录片的方式，保持了此戏原貌，被世人誉为“弋阳腔活化石”。,7813,201,45,275,157,2026-04-04 19:16:10
江西,赣剧,BV1os411k7iz,【赣剧老电影】戏曲艺术片《还魂记-游园惊梦》(1960)潘凤霞、童庆礽,"转自企鹅。新增后4P（均有字幕），其中第P3包含了P1的游园惊梦内容（咱不会剪视频，就直接传上来了）。 注明一下： 这是赣剧电影《还魂记》中的《游园惊梦》片段。电影《还魂记》全剧时长约118分钟（长春电影制片厂）。 --编剧：凌鹤    ||    导演：黄粲、王家乙 --主演：潘凤霞（杜丽娘）、童庆礽（柳梦梅）、乐一生（杜老爷）、杨桂仙（杜夫人）、邹莉莉（春香）。 ----P.S.：本篇完整版av5567191，字幕已完工。【←真的会有人看么(；′⌒`)。。。】",16121,276,73,622,127,2026-04-04 19:16:18
江西,赣剧,BV1rJ4m187co,赣剧融入南昌大学课堂,当赣剧融入南昌大学课堂，让我们一起跟随国家非物质文化遗产（赣剧）传承人陈俐老师走进赣剧艺术鉴赏课，共同体会戏曲魅力，了解学校更多有特色的通识课程。 视频摄制：蔡佳骏、欧阳仟、李嘉宁、吴童、夏惠容、贺玉梅 值班编辑：陈紫云 审核：邱晓怡、罗丽、陈小赤,36167,2043,190,223,22,2026-04-04 19:16:29
湖南,湘剧,BV1Db411U72d,湘剧【高腔】《琵琶记》名段欣赏折子选段合集（赏荷、描容上路、打三不孝）,优酷 湘剧琵琶记天下第一，不接受反驳,11292,140,26,199,2,2026-04-04 19:16:43
湖南,湘剧,BV1UW411G7bj,湖南花鼓戏经典回放 《刘海砍樵》 李左 叶红 480p修复清晰KTV版,"腾讯视频 刘海砍樵是湖南花鼓戏的经典名剧之一，讲述了孝子刘海与狐狸精胡秀英之间的爱情故事。这部名剧中展现了勤劳、孝顺等美德和追求忠贞爱情、幸福生活的美好愿望。 剧中“刘海哥，那我将你好有一比……我这里将大姐好有一比……”其名为""比古调"",源自这段词是用古人来比喻. 改编自""安童调""等.为胡秀英与刘海的一段对唱, 活泼欢快，把二人成婚，双双归家的喜悦心情表现得风趣可爱。是湖南花鼓戏最富特色的唱段之一，一直传唱不衰。",333477,4648,711,4346,323,2026-04-04 19:16:51
湖南,湘剧,BV19K4y177DY,【张艺兴×CONVERSE】从湘剧中找寻新灵感：CONVERSE WORKWEAR系列,http://weibointl.api.weibo.com/share/180596518.html?weibo_id=4565062625526764,20366,3220,636,525,40,2026-04-04 19:17:06
湖南,湘剧,BV1WJ4m1b7pd,【花小楼】原创单曲《百花公主》MV，湘剧与流行音乐碰撞融合,虚拟偶像花小楼本次与湖南省湘剧院梦幻联动，摇身变为“百花公主”发布全新单曲《百花公主》，歌曲节选湘剧《百花记》斩巴选段并邀请知名湘剧演员曹威治老师共同创造完成。希望跟花粉们在湘剧与流行音乐碰撞融合中，感受到传统文化的别样魅力。,23002,597,161,443,45,2026-04-04 19:17:20
湖北,汉剧,BV1Mt411r7Fb,汉剧名段欣赏,央视,19734,256,49,417,22,2026-04-04 19:17:35
湖北,汉剧,BV19b411S7fx,汉剧《贵妃醉酒》 表演者：王荔,http://tv.cctv.com/2018/02/20/VIDERCOYMhw1zAoWLZzW2sr2180220.shtml,9600,140,9,124,3,2026-04-04 19:17:42
湖北,汉剧,BV1WQXSBjEzY,“哪有个妻南夫北隔在两厢”常德汉剧《金沙滩.骂寨劝降》邱三英 饰 卢俊义,邱三英，女，1942年生人。著名常德汉剧表演艺术家，工生角，她的唱腔圆润巧妙，表演细腻传神，做手也极其讲究，因此在常德地区有大量的“忠臣”追随，同时邱老师也会许多汉剧冷门戏。其代表作有《金沙滩》《粉妆楼》《审刺客》(全本《六部大审》)《盘貂》《武家坡》《华容挡曹》《坐楼杀惜》《仁贵回窑》《三相图》《男斩子》《太白醉书》等，相当具有个人特色。,2131,187,37,105,1,2026-04-04 19:17:50
湖北,汉剧,BV1Qa411474H,这里承载着你不知道的武汉汉剧｜武汉传媒学院摄影系｜非遗,汉剧，旧称楚调、汉调（楚腔、楚曲），俗称“二黄”，湖北省地方戏剧，汉族传统戏曲剧种之一、国家级非物质文化遗产之一。本记录片拍摄了汉剧的样貌，体现了湖北人民的精神内涵，以及其在戏曲中的艺术造诣，继承人对汉剧的看法、做法、态度等，作为文化的代表，文化的传承势必成为重中之重，所以视线着重于汉剧传承人身上，了解其心路历程，本影片抓住其艺术情感的魂，解读文化传承背后的故事。武汉传媒学院摄影系二班梁俊涛、吕艺童、杨一苏、蔡文涛、吴奥雄制，感谢武汉汉剧院。,5229,145,59,154,6,2026-04-04 19:18:01
湖北,汉剧,BV1bb411g7yE,【Braska】《水上灯》「全程高难度演唱！2分54秒高能戏腔开启！民国汉剧名伶如梦如蛇的一生」（原创概念专辑《伍觉》火元素主题曲）,水上灯（Braska原创概念专辑《伍觉》火元素主题曲）  【文案】 1920年早春，水上灯生于汉口。那时的她，有一个名字叫做：水滴。 十五年后，一出《宇宙锋》，汉剧舞台上，她大放光明。 水上漂来一盏灯，打落一枝玫瑰红。她赢了所恨，却也输了所爱。她爱的人因她而死，她恨的人家毁人亡。 纠结什么？原谅什么？忘却什么？牢记什么？ 最后只有水，在时间之下漾起微波。 “总而言之，我不能跟这个世界合流。” 而永恒的岁月面前，沉默万千灯火。  【Fire & Fight】 我要讲一个有关火焰的故事。 火焰活在灯中，漂在水上，沉眠于时光之下，栖居于灵魂之上。 它挣扎，灼烫，升腾，反抗，燃烧成一生一次独属于己的模样。 我要你从你自己的心中，看穿它狂舞飞扬，听清它毕驳作响。 Fire & Fight， 或明烈，或消亡，却是生命中不可或缺的力量。  Braska原创概念专辑《伍觉》先行单曲，火元素主题曲《水上灯》，全能型创作音乐人Braska携手著名词人Vagary共同创作出这首糅合了流行、国风及戏曲元素的歌曲，歌曲取材自方方长篇小说《水在时间之下》改编京剧《水上灯》，戏腔部分唱词改编自汉剧《宇宙锋》，借对汉剧名伶水滴一生的描写，与专辑中的火元素精神所赞颂的“燃尽生命的执着”相结合，为大家带来了听觉与心灵上的双重震撼。   作曲/编曲：Braska 作词：Vagary 和声：Braska 混音/母带：Braska 录音师：Braska 制作人：Braska 录音棚：D.O.J Studio 插画：修竹 视频：暴风雪瑞瑞 出品：晋昕音乐,3103590,131414,108765,134022,8501,2026-04-04 19:18:09
山东,吕剧,BV1RW411q7pp,吕剧《 小姑贤》,央视网 吕剧《 小姑贤》，山东省吕剧院演出,110985,703,109,944,277,2026-04-04 19:18:24
山东,吕剧,BV1Lq4y1T7L9,山东吕剧《小姑贤》版本大全,婆婆刁氏视自己的儿媳妇李荣花为眼中钉，经常打骂，并逼儿子休妻。刁氏女儿桂姐贤惠能干，从中劝解，成就好事。 视频下载:https://www.fodownloader.com/zh-cn http://www.zanqianba.com https://bilibili.iiilab.com,71986,234,32,384,64,2026-04-04 19:18:40
山东,吕剧,BV1ks411A7Fk,山东吕剧《借年》山东吕剧院演出,网上下载 山东吕剧《借年》山东吕剧院演出,55918,315,45,505,677,2026-04-04 19:18:51
山东,吕剧,BV1RW411q7WX,吕剧《姊妹易嫁》,央视网 吕剧《姊妹易嫁》，山东省吕剧院演出,85021,428,69,682,349,2026-04-04 19:19:02
山东,吕剧,BV1ZY4y1L7Qy,【地方戏曲】山东吕剧剧目大全,吕剧是山东省的地方戏，旧称“化妆扬琴”或“扬琴戏”，国家级非物质文化遗产，中国八大戏曲剧种之一，是山东的地方剧种，流行于山东大部和江苏、安徽、东北三省的部分地区。吕剧起源于鲁北黄河三角洲，由山东琴书演变而来。其音乐属于板腔体，兼唱曲牌，主要伴奏乐器是坠琴（主弦）、扬琴、三弦、琵琶，称“吕剧四大件”。,120100,607,197,1427,96,2026-04-04 19:19:13
